mir,GO,gene
miR-10b,GO:0032535~regulation of cellular component size,PTEN
miR-10b,GO:0033032~regulation of myeloid cell apoptotic process,PTEN
miR-10b,GO:0033198~response to ATP,PTEN
miR-10b,GO:0033555~multicellular organismal response to stress,PTEN
miR-10b,GO:0035176~social behavior,PTEN
miR-10b,GO:0035335~peptidyl-tyrosine dephosphorylation,PTEN
miR-10b,GO:0042493~response to drug,PTEN
miR-10b,GO:0042711~maternal behavior,PTEN
miR-10b,GO:0043066~negative regulation of apoptotic process,PTEN
miR-10b,GO:0043491~protein kinase B signaling,PTEN
miR-10b,GO:0043542~endothelial cell migration,PTEN
miR-10b,GO:0043647~inositol phosphate metabolic process,PTEN
miR-10b,GO:0045471~response to ethanol,PTEN
miR-10b,GO:0045475~locomotor rhythm,PTEN
miR-10b,GO:0045792~negative regulation of cell size,PTEN
miR-10b,GO:0046621~negative regulation of organ growth,PTEN
miR-10b,GO:0046685~response to arsenic-containing substance,PTEN
miR-10b,GO:0046855~inositol phosphate dephosphorylation,PTEN
miR-10b,GO:0046856~phosphatidylinositol dephosphorylation,PTEN
miR-10b,GO:0048008~platelet-derived growth factor receptor signaling pathway,PTEN
miR-10b,GO:0048015~phosphatidylinositol-mediated signaling,PTEN
miR-10b,GO:0048681~negative regulation of axon regeneration,PTEN
miR-10b,GO:0048738~cardiac muscle tissue development,PTEN
miR-10b,GO:0048853~forebrain morphogenesis,PTEN
miR-10b,GO:0048854~brain morphogenesis,PTEN
miR-10b,GO:0050680~negative regulation of epithelial cell proliferation,PTEN
miR-10b,GO:0050765~negative regulation of phagocytosis,PTEN
miR-10b,GO:0050771~negative regulation of axonogenesis,PTEN
miR-10b,GO:0050821~protein stabilization,PTEN
miR-10b,GO:0050852~T cell receptor signaling pathway,PTEN
miR-10b,GO:0051091~positive regulation of sequence-specific DNA binding transcription factor activity,PTEN
miR-10b,GO:0051726~regulation of cell cycle,PTEN
miR-10b,GO:0051895~negative regulation of focal adhesion assembly,PTEN
miR-10b,GO:0051898~negative regulation of protein kinase B signaling,PTEN
miR-10b,GO:0060024~rhythmic synaptic transmission,PTEN
miR-10b,GO:0060044~negative regulation of cardiac muscle cell proliferation,PTEN
miR-10b,GO:0060070~canonical Wnt signaling pathway,PTEN
miR-10b,GO:0060074~synapse maturation,PTEN
miR-10b,GO:0060134~prepulse inhibition,PTEN
miR-10b,GO:0060179~male mating behavior,PTEN
miR-10b,GO:0060291~long-term synaptic potentiation,PTEN
miR-10b,GO:0060292~long term synaptic depression,PTEN
miR-10b,GO:0060736~prostate gland growth,PTEN
miR-10b,GO:0060997~dendritic spine morphogenesis,PTEN
miR-10b,GO:0061002~negative regulation of dendritic spine morphogenesis,PTEN
miR-10b,GO:0070373~negative regulation of ERK1 and ERK2 cascade,PTEN
miR-10b,GO:0070374~positive regulation of ERK1 and ERK2 cascade,PTEN
miR-10b,GO:0071456~cellular response to hypoxia,PTEN
miR-10b,GO:0090071~negative regulation of ribosome biogenesis,PTEN
miR-10b,GO:0090344~negative regulation of cell aging,PTEN
miR-10b,GO:0090394~negative regulation of excitatory postsynaptic potential,PTEN
miR-10b,GO:0097105~presynaptic membrane assembly,PTEN
miR-10b,GO:0097107~postsynaptic density assembly,PTEN
miR-10b,GO:1903984~positive regulation of TRAIL-activated apoptotic signaling pathway,PTEN
miR-10b,GO:1904668~positive regulation of ubiquitin protein ligase activity,PTEN
miR-10b,GO:2000060~positive regulation of protein ubiquitination involved in ubiquitin-dependent protein catabolic process,PTEN
miR-10b,GO:2000134~negative regulation of G1/S transition of mitotic cell cycle,PTEN
miR-10b,GO:2000463~positive regulation of excitatory postsynaptic potential,PTEN
miR-10b,GO:2000808~negative regulation of synaptic vesicle clustering,PTEN
miR-10b,GO:2001235~positive regulation of apoptotic signaling pathway<COMMA>,PTEN
miR-10b,GO:0001523~retinoid metabolic process,SDC1
miR-10b,GO:0001657~ureteric bud development,SDC1
miR-10b,GO:0006024~glycosaminoglycan biosynthetic process,SDC1
miR-10b,GO:0006027~glycosaminoglycan catabolic process,SDC1
miR-10b,GO:0006954~inflammatory response,SDC1
miR-10b,GO:0009636~response to toxic substance,SDC1
miR-10b,GO:0016477~cell migration,SDC1
miR-10b,GO:0030203~glycosaminoglycan metabolic process,SDC1
miR-10b,GO:0042060~wound healing,SDC1
miR-10b,GO:0042157~lipoprotein metabolic process,SDC1
miR-10b,GO:0042476~odontogenesis,SDC1
miR-10b,GO:0042542~response to hydrogen peroxide,SDC1
miR-10b,GO:0048627~myoblast development,SDC1
miR-10b,GO:0051384~response to glucocorticoid,SDC1
miR-10b,GO:0051591~response to cAMP,SDC1
miR-10b,GO:0051592~response to calcium ion,SDC1
miR-10b,GO:0055002~striated muscle cell development,SDC1
miR-10b,GO:0060009~Sertoli cell development,SDC1
miR-10b,GO:0060070~canonical Wnt signaling pathway,SDC1
miR-10b,GO:1903543~positive regulation of exosomal secretion,SDC1
miR-10b,GO:1903553~positive regulation of extracellular exosome assembly<COMMA>,SDC1
miR-10b,GO:0000380~alternative mRNA splicing<COMMA> via spliceosome,SRSF1
miR-10b,GO:0000395~mRNA 5'-splice site recognition,SRSF1
miR-10b,GO:0000398~mRNA splicing<COMMA> via spliceosome,SRSF1
miR-10b,GO:0001701~in utero embryonic development,SRSF1
miR-10b,GO:0006369~termination of RNA polymerase II transcription,SRSF1
miR-10b,GO:0006376~mRNA splice site selection,SRSF1
miR-10b,GO:0006397~mRNA processing,SRSF1
miR-10b,GO:0006405~RNA export from nucleus,SRSF1
miR-10b,GO:0006406~mRNA export from nucleus,SRSF1
miR-10b,GO:0031124~mRNA 3'-end processing,SRSF1
miR-10b,GO:0033120~positive regulation of RNA splicing,SRSF1
miR-10b,GO:0048709~oligodendrocyte differentiation,SRSF1
miR-10b,GO:0060048~cardiac muscle contraction,SRSF1
miR-10b,GO:0097421~liver regeneration<COMMA>,SRSF1
miR-10b,GO:0000122~negative regulation of transcription from RNA polymerase II promoter,TFAP2C
miR-10b,GO:0006357~regulation of transcription from RNA polymerase II promoter,TFAP2C
miR-10b,GO:0006366~transcription from RNA polymerase II promoter,TFAP2C
miR-10b,GO:0007267~cell-cell signaling,TFAP2C
miR-10b,GO:0008584~male gonad development,TFAP2C
miR-10b,GO:0040029~regulation of gene expression<COMMA> epigenetic,TFAP2C
miR-10b,GO:0042127~regulation of cell proliferation,TFAP2C
miR-10b,GO:0045944~positive regulation of transcription from RNA polymerase II promoter<COMMA>,TFAP2C
miR-10b,GO:0003300~cardiac muscle hypertrophy,TIAM1
miR-10b,GO:0006915~apoptotic process,TIAM1
miR-10b,GO:0007160~cell-matrix adhesion,TIAM1
miR-10b,GO:0008284~positive regulation of cell proliferation,TIAM1
miR-10b,GO:0016477~cell migration,TIAM1
miR-10b,GO:0016601~Rac protein signal transduction,TIAM1
miR-10b,GO:0030335~positive regulation of cell migration,TIAM1
miR-10b,GO:0032092~positive regulation of protein binding,TIAM1
miR-10b,GO:0035023~regulation of Rho protein signal transduction,TIAM1
miR-10b,GO:0042220~response to cocaine,TIAM1
miR-10b,GO:0043065~positive regulation of apoptotic process,TIAM1
miR-10b,GO:0043507~positive regulation of JUN kinase activity,TIAM1
miR-10b,GO:0048013~ephrin receptor signaling pathway,TIAM1
miR-10b,GO:0050772~positive regulation of axonogenesis,TIAM1
miR-10b,GO:0051056~regulation of small GTPase mediated signal transduction,TIAM1
miR-10b,GO:0060071~Wnt signaling pathway<COMMA> planar cell polarity pathway,TIAM1
miR-10b,GO:0061003~positive regulation of dendritic spine morphogenesis,TIAM1
miR-10b,GO:0061178~regulation of insulin secretion involved in cellular response to glucose stimulus,TIAM1
miR-10b,GO:0070372~regulation of ERK1 and ERK2 cascade,TIAM1
miR-10b,GO:0072657~protein localization to membrane,TIAM1
miR-10b,GO:0090630~activation of GTPase activity,TIAM1
miR-10b,GO:1904268~positive regulation of Schwann cell chemotaxis,TIAM1
miR-10b,GO:1904338~regulation of dopaminergic neuron differentiation,TIAM1
miR-10b,GO:1990138~neuron projection extension,TIAM1
miR-10b,GO:2000050~regulation of non-canonical Wnt signaling pathway<COMMA>,TIAM1
miR-10b,GO:0000122~negative regulation of transcription from RNA polymerase II promoter,TP53
miR-10b,GO:0000733~DNA strand renaturation,TP53
miR-10b,GO:0006284~base-excision repair,TP53
miR-10b,GO:0006289~nucleotide-excision repair,TP53
miR-10b,GO:0006351~transcription<COMMA> DNA-templated,TP53
miR-10b,GO:0006355~regulation of transcription<COMMA> DNA-templated,TP53
miR-10b,GO:0006366~transcription from RNA polymerase II promoter,TP53
miR-10b,GO:0006461~protein complex assembly,TP53
miR-10b,GO:0006915~apoptotic process,TP53
miR-10b,GO:0006974~cellular response to DNA damage stimulus,TP53
miR-10b,GO:0006977~DNA damage response<COMMA> signal transduction by p53 class mediator resulting in cell cycle arrest,TP53
miR-10b,GO:0006978~DNA damage response<COMMA> signal transduction by p53 class mediator resulting in transcription of p21 class mediator,TP53
miR-10b,GO:0006983~ER overload response,TP53
miR-10b,GO:0007049~cell cycle,TP53
miR-10b,GO:0007050~cell cycle arrest,TP53
miR-10b,GO:0007265~Ras protein signal transduction,TP53
miR-10b,GO:0007275~multicellular organism development,TP53
miR-10b,GO:0007569~cell aging,TP53
miR-10b,GO:0008104~protein localization,TP53
miR-10b,GO:0008283~cell proliferation,TP53
miR-10b,GO:0008285~negative regulation of cell proliferation,TP53
miR-10b,GO:0008340~determination of adult lifespan,TP53
miR-10b,GO:0010165~response to X-ray,TP53
miR-10b,GO:0010332~response to gamma radiation,TP53
miR-10b,GO:0010628~positive regulation of gene expression,TP53
miR-10b,GO:0016032~viral process,TP53
miR-10b,GO:0016925~protein sumoylation,TP53
miR-10b,GO:0030154~cell differentiation,TP53
miR-10b,GO:0030308~negative regulation of cell growth,TP53
miR-10b,GO:0030330~DNA damage response<COMMA> signal transduction by p53 class mediator,TP53
miR-10b,GO:0031065~positive regulation of histone deacetylation,TP53
miR-10b,GO:0031497~chromatin assembly,TP53
miR-10b,GO:0031571~mitotic G1 DNA damage checkpoint,TP53
miR-10b,GO:0032461~positive regulation of protein oligomerization,TP53
miR-10b,GO:0034613~cellular protein localization,TP53
miR-10b,GO:0034644~cellular response to UV,TP53
miR-10b,GO:0035690~cellular response to drug,TP53
miR-10b,GO:0042149~cellular response to glucose starvation,TP53
miR-10b,GO:0042771~intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator,TP53
miR-10b,GO:0042981~regulation of apoptotic process,TP53
miR-10b,GO:0043065~positive regulation of apoptotic process,TP53
miR-10b,GO:0043066~negative regulation of apoptotic process,TP53
miR-10b,GO:0043153~entrainment of circadian clock by photoperiod,TP53
miR-10b,GO:0043161~proteasome-mediated ubiquitin-dependent protein catabolic process,TP53
miR-10b,GO:0043525~positive regulation of neuron apoptotic process,TP53
miR-10b,GO:0045892~negative regulation of transcription<COMMA> DNA-templated,TP53
miR-10b,GO:0045893~positive regulation of transcription<COMMA> DNA-templated,TP53
miR-10b,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,TP53
miR-10b,GO:0046677~response to antibiotic,TP53
miR-10b,GO:0046827~positive regulation of protein export from nucleus,TP53
miR-10b,GO:0046902~regulation of mitochondrial membrane permeability,TP53
miR-10b,GO:0048147~negative regulation of fibroblast proliferation,TP53
miR-10b,GO:0048512~circadian behavior,TP53
miR-10b,GO:0050731~positive regulation of peptidyl-tyrosine phosphorylation,TP53
miR-10b,GO:0051097~negative regulation of helicase activity,TP53
miR-10b,GO:0051262~protein tetramerization,TP53
miR-10b,GO:0051974~negative regulation of telomerase activity,TP53
miR-10b,GO:0070245~positive regulation of thymocyte apoptotic process,TP53
miR-10b,GO:0071158~positive regulation of cell cycle arrest,TP53
miR-10b,GO:0071456~cellular response to hypoxia,TP53
miR-10b,GO:0071479~cellular response to ionizing radiation,TP53
miR-10b,GO:0072332~intrinsic apoptotic signaling pathway by p53 class mediator,TP53
miR-10b,GO:0090200~positive regulation of release of cytochrome c from mitochondria,TP53
miR-10b,GO:0090399~replicative senescence,TP53
miR-10b,GO:0090403~oxidative stress-induced premature senescence,TP53
miR-10b,GO:0097193~intrinsic apoptotic signaling pathway,TP53
miR-10b,GO:0097252~oligodendrocyte apoptotic process,TP53
miR-10b,GO:1900119~positive regulation of execution phase of apoptosis,TP53
miR-10b,GO:1900740~positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway,TP53
miR-10b,GO:1901796~regulation of signal transduction by p53 class mediator,TP53
miR-10b,GO:1902749~regulation of cell cycle G2/M phase transition,TP53
miR-10b,GO:1990440~positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress,TP53
miR-10b,GO:2000379~positive regulation of reactive oxygen species metabolic process,TP53
miR-10b,GO:2001244~positive regulation of intrinsic apoptotic signaling pathway<COMMA>,TP53
miR-10b,GO:0001701~in utero embryonic development,TPM1
miR-10b,GO:0003065~positive regulation of heart rate by epinephrine,TPM1
miR-10b,GO:0006928~movement of cell or subcellular component,TPM1
miR-10b,GO:0006936~muscle contraction,TPM1
miR-10b,GO:0006937~regulation of muscle contraction,TPM1
miR-10b,GO:0007010~cytoskeleton organization,TPM1
miR-10b,GO:0007015~actin filament organization,TPM1
miR-10b,GO:0008016~regulation of heart contraction,TPM1
miR-10b,GO:0008360~regulation of cell shape,TPM1
miR-10b,GO:0030049~muscle filament sliding,TPM1
miR-10b,GO:0030336~negative regulation of cell migration,TPM1
miR-10b,GO:0031529~ruffle organization,TPM1
miR-10b,GO:0032781~positive regulation of ATPase activity,TPM1
miR-10b,GO:0034614~cellular response to reactive oxygen species,TPM1
miR-10b,GO:0042060~wound healing,TPM1
miR-10b,GO:0045214~sarcomere organization,TPM1
miR-10b,GO:0045785~positive regulation of cell adhesion,TPM1
miR-10b,GO:0051496~positive regulation of stress fiber assembly,TPM1
miR-10b,GO:0055010~ventricular cardiac muscle tissue morphogenesis,TPM1
miR-10b,GO:0060048~cardiac muscle contraction,TPM1
miR-10b,GO:1904706~negative regulation of vascular smooth muscle cell proliferation,TPM1
miR-10b,GO:1904753~negative regulation of vascular associated smooth muscle cell migration<COMMA>,TPM1
miR-10b,GO:0000302~response to reactive oxygen species,TRA2B
miR-10b,GO:0000375~RNA splicing<COMMA> via transesterification reactions,TRA2B
miR-10b,GO:0000381~regulation of alternative mRNA splicing<COMMA> via spliceosome,TRA2B
miR-10b,GO:0000398~mRNA splicing<COMMA> via spliceosome,TRA2B
miR-10b,GO:0021796~cerebral cortex regionalization,TRA2B
miR-10b,GO:0048025~negative regulation of mRNA splicing<COMMA> via spliceosome,TRA2B
miR-10b,GO:0048026~positive regulation of mRNA splicing<COMMA> via spliceosome,TRA2B
miR-10b,GO:1990403~embryonic brain development<COMMA>,TRA2B
miR-130a,GO:0000082~G1/S transition of mitotic cell cycle,Acvr1
miR-130a,GO:0001569~patterning of blood vessels,Acvr1
miR-130a,GO:0001701~in utero embryonic development,Acvr1
miR-130a,GO:0001702~gastrulation with mouth forming second,Acvr1
miR-130a,GO:0001707~mesoderm formation,Acvr1
miR-130a,GO:0001755~neural crest cell migration,Acvr1
miR-130a,GO:0002526~acute inflammatory response,Acvr1
miR-130a,GO:0003143~embryonic heart tube morphogenesis,Acvr1
miR-130a,GO:0003148~outflow tract septum morphogenesis,Acvr1
miR-130a,GO:0003181~atrioventricular valve morphogenesis,Acvr1
miR-130a,GO:0003183~mitral valve morphogenesis,Acvr1
miR-130a,GO:0003203~endocardial cushion morphogenesis,Acvr1
miR-130a,GO:0003274~endocardial cushion fusion,Acvr1
miR-130a,GO:0003289~atrial septum primum morphogenesis,Acvr1
miR-130a,GO:0006468~protein phosphorylation,Acvr1
miR-130a,GO:0007178~transmembrane receptor protein serine/threonine kinase signaling pathway,Acvr1
miR-130a,GO:0007179~transforming growth factor beta receptor signaling pathway,Acvr1
miR-130a,GO:0007281~germ cell development,Acvr1
miR-130a,GO:0007368~determination of left/right symmetry,Acvr1
miR-130a,GO:0007507~heart development,Acvr1
miR-130a,GO:0009968~negative regulation of signal transduction,Acvr1
miR-130a,GO:0010862~positive regulation of pathway-restricted SMAD protein phosphorylation,Acvr1
miR-130a,GO:0018107~peptidyl-threonine phosphorylation,Acvr1
miR-130a,GO:0023014~signal transduction by protein phosphorylation,Acvr1
miR-130a,GO:0030278~regulation of ossification,Acvr1
miR-130a,GO:0030335~positive regulation of cell migration,Acvr1
miR-130a,GO:0030501~positive regulation of bone mineralization,Acvr1
miR-130a,GO:0030509~BMP signaling pathway,Acvr1
miR-130a,GO:0032924~activin receptor signaling pathway,Acvr1
miR-130a,GO:0032926~negative regulation of activin receptor signaling pathway,Acvr1
miR-130a,GO:0045669~positive regulation of osteoblast differentiation,Acvr1
miR-130a,GO:0045893~positive regulation of transcription<COMMA> DNA-templated,Acvr1
miR-130a,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,Acvr1
miR-130a,GO:0051145~smooth muscle cell differentiation,Acvr1
miR-130a,GO:0060037~pharyngeal system development,Acvr1
miR-130a,GO:0060389~pathway-restricted SMAD protein phosphorylation,Acvr1
miR-130a,GO:0060412~ventricular septum morphogenesis,Acvr1
miR-130a,GO:0060923~cardiac muscle cell fate commitment,Acvr1
miR-130a,GO:0061312~BMP signaling pathway involved in heart development,Acvr1
miR-130a,GO:0061445~endocardial cushion cell fate commitment,Acvr1
miR-130a,GO:0071773~cellular response to BMP stimulus,Acvr1
miR-130a,GO:1905007~positive regulation of epithelial to mesenchymal transition involved in endocardial cushion formation,Acvr1
miR-130a,GO:2000017~positive regulation of determination of dorsal identity,Acvr1
miR-130a,GO:2001237~negative regulation of extrinsic apoptotic signaling pathway<COMMA>,Acvr1
miR-130a,GO:0001878~response to yeast,APP
miR-130a,GO:0001967~suckling behavior,APP
miR-130a,GO:0002576~platelet degranulation,APP
miR-130a,GO:0006378~mRNA polyadenylation,APP
miR-130a,GO:0006417~regulation of translation,APP
miR-130a,GO:0006468~protein phosphorylation,APP
miR-130a,GO:0006878~cellular copper ion homeostasis,APP
miR-130a,GO:0006897~endocytosis,APP
miR-130a,GO:0006979~response to oxidative stress,APP
miR-130a,GO:0007155~cell adhesion,APP
miR-130a,GO:0007176~regulation of epidermal growth factor-activated receptor activity,APP
miR-130a,GO:0007219~Notch signaling pathway,APP
miR-130a,GO:0007399~nervous system development,APP
miR-130a,GO:0007409~axonogenesis,APP
miR-130a,GO:0007617~mating behavior,APP
miR-130a,GO:0007626~locomotory behavior,APP
miR-130a,GO:0008088~axo-dendritic transport,APP
miR-130a,GO:0008203~cholesterol metabolic process,APP
miR-130a,GO:0008344~adult locomotory behavior,APP
miR-130a,GO:0008542~visual learning,APP
miR-130a,GO:0009987~cellular process,APP
miR-130a,GO:0010288~response to lead ion,APP
miR-130a,GO:0010951~negative regulation of endopeptidase activity,APP
miR-130a,GO:0010952~positive regulation of peptidase activity,APP
miR-130a,GO:0010971~positive regulation of G2/M transition of mitotic cell cycle,APP
miR-130a,GO:0016199~axon midline choice point recognition,APP
miR-130a,GO:0016322~neuron remodeling,APP
miR-130a,GO:0016358~dendrite development,APP
miR-130a,GO:0019731~antibacterial humoral response,APP
miR-130a,GO:0019732~antifungal humoral response,APP
miR-130a,GO:0030198~extracellular matrix organization,APP
miR-130a,GO:0030900~forebrain development,APP
miR-130a,GO:0031175~neuron projection development,APP
miR-130a,GO:0035235~ionotropic glutamate receptor signaling pathway,APP
miR-130a,GO:0040014~regulation of multicellular organism growth,APP
miR-130a,GO:0043393~regulation of protein binding,APP
miR-130a,GO:0044267~cellular protein metabolic process,APP
miR-130a,GO:0045087~innate immune response,APP
miR-130a,GO:0045665~negative regulation of neuron differentiation,APP
miR-130a,GO:0045931~positive regulation of mitotic cell cycle,APP
miR-130a,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,APP
miR-130a,GO:0048669~collateral sprouting in absence of injury,APP
miR-130a,GO:0050803~regulation of synapse structure or activity,APP
miR-130a,GO:0050829~defense response to Gram-negative bacterium,APP
miR-130a,GO:0050830~defense response to Gram-positive bacterium,APP
miR-130a,GO:0050885~neuromuscular process controlling balance,APP
miR-130a,GO:0051124~synaptic growth at neuromuscular junction,APP
miR-130a,GO:0051402~neuron apoptotic process,APP
miR-130a,GO:0051563~smooth endoplasmic reticulum calcium ion homeostasis,APP
miR-130a,GO:0071320~cellular response to cAMP,APP
miR-130a,GO:0071874~cellular response to norepinephrine stimulus,APP
miR-130a,GO:1990000~amyloid fibril formation,APP
miR-130a,GO:1990090~cellular response to nerve growth factor stimulus<COMMA>,APP
miR-130a,GO:0000045~autophagosome assembly,ATG2B
miR-130a,GO:0000422~mitophagy,ATG2B
miR-130a,GO:0044804~nucleophagy<COMMA>,ATG2B
miR-130a,GO:0006351~transcription<COMMA> DNA-templated,ATXN1
miR-130a,GO:0006396~RNA processing,ATXN1
miR-130a,GO:0045892~negative regulation of transcription<COMMA> DNA-templated,ATXN1
miR-130a,GO:0051168~nuclear export<COMMA>,ATXN1
miR-130a,GO:0001954~positive regulation of cell-matrix adhesion,CSF1
miR-130a,GO:0002158~osteoclast proliferation,CSF1
miR-130a,GO:0003006~developmental process involved in reproduction,CSF1
miR-130a,GO:0006954~inflammatory response,CSF1
miR-130a,GO:0007169~transmembrane receptor protein tyrosine kinase signaling pathway,CSF1
miR-130a,GO:0008283~cell proliferation,CSF1
miR-130a,GO:0008284~positive regulation of cell proliferation,CSF1
miR-130a,GO:0010628~positive regulation of gene expression,CSF1
miR-130a,GO:0010743~regulation of macrophage derived foam cell differentiation,CSF1
miR-130a,GO:0010744~positive regulation of macrophage derived foam cell differentiation,CSF1
miR-130a,GO:0010759~positive regulation of macrophage chemotaxis,CSF1
miR-130a,GO:0030097~hemopoiesis,CSF1
miR-130a,GO:0030154~cell differentiation,CSF1
miR-130a,GO:0030225~macrophage differentiation,CSF1
miR-130a,GO:0030278~regulation of ossification,CSF1
miR-130a,GO:0030316~osteoclast differentiation,CSF1
miR-130a,GO:0030335~positive regulation of cell migration,CSF1
miR-130a,GO:0032270~positive regulation of cellular protein metabolic process,CSF1
miR-130a,GO:0032946~positive regulation of mononuclear cell proliferation,CSF1
miR-130a,GO:0038145~macrophage colony-stimulating factor signaling pathway,CSF1
miR-130a,GO:0040018~positive regulation of multicellular organism growth,CSF1
miR-130a,GO:0042117~monocyte activation,CSF1
miR-130a,GO:0042488~positive regulation of odontogenesis of dentin-containing tooth,CSF1
miR-130a,GO:0045087~innate immune response,CSF1
miR-130a,GO:0045651~positive regulation of macrophage differentiation,CSF1
miR-130a,GO:0045657~positive regulation of monocyte differentiation,CSF1
miR-130a,GO:0045672~positive regulation of osteoclast differentiation,CSF1
miR-130a,GO:0045860~positive regulation of protein kinase activity,CSF1
miR-130a,GO:0046579~positive regulation of Ras protein signal transduction,CSF1
miR-130a,GO:0048873~homeostasis of number of cells within a tissue,CSF1
miR-130a,GO:0060444~branching involved in mammary gland duct morphogenesis,CSF1
miR-130a,GO:0060611~mammary gland fat development,CSF1
miR-130a,GO:0060763~mammary duct terminal end bud growth,CSF1
miR-130a,GO:1902228~positive regulation of macrophage colony-stimulating factor signaling pathway,CSF1
miR-130a,GO:1904141~positive regulation of microglial cell migration<COMMA>,CSF1
miR-130a,GO:0000122~negative regulation of transcription from RNA polymerase II promoter,DICER1
miR-130a,GO:0006309~apoptotic DNA fragmentation,DICER1
miR-130a,GO:0006396~RNA processing,DICER1
miR-130a,GO:0010626~negative regulation of Schwann cell proliferation,DICER1
miR-130a,GO:0014040~positive regulation of Schwann cell differentiation,DICER1
miR-130a,GO:0021675~nerve development,DICER1
miR-130a,GO:0030422~production of siRNA involved in RNA interference,DICER1
miR-130a,GO:0030423~targeting of mRNA for destruction involved in RNA interference,DICER1
miR-130a,GO:0031047~gene silencing by RNA,DICER1
miR-130a,GO:0031054~pre-miRNA processing,DICER1
miR-130a,GO:0031643~positive regulation of myelination,DICER1
miR-130a,GO:0032290~peripheral nervous system myelin formation,DICER1
miR-130a,GO:0033168~conversion of ds siRNA to ss siRNA involved in RNA interference,DICER1
miR-130a,GO:0035087~siRNA loading onto RISC involved in RNA interference,DICER1
miR-130a,GO:0035196~production of miRNAs involved in gene silencing by miRNA,DICER1
miR-130a,GO:0035280~miRNA loading onto RISC involved in gene silencing by miRNA,DICER1
miR-130a,GO:0036404~conversion of ds siRNA to ss siRNA,DICER1
miR-130a,GO:0048812~neuron projection morphogenesis,DICER1
miR-130a,GO:0090502~RNA phosphodiester bond hydrolysis<COMMA> endonucleolytic<COMMA>,DICER1
miR-130a,GO:0000122~negative regulation of transcription from RNA polymerase II promoter,ESR1
miR-130a,GO:0001547~antral ovarian follicle growth,ESR1
miR-130a,GO:0002064~epithelial cell development,ESR1
miR-130a,GO:0006338~chromatin remodeling,ESR1
miR-130a,GO:0006351~transcription<COMMA> DNA-templated,ESR1
miR-130a,GO:0006355~regulation of transcription<COMMA> DNA-templated,ESR1
miR-130a,GO:0006366~transcription from RNA polymerase II promoter,ESR1
miR-130a,GO:0006367~transcription initiation from RNA polymerase II promoter,ESR1
miR-130a,GO:0007165~signal transduction,ESR1
miR-130a,GO:0007200~phospholipase C-activating G-protein coupled receptor signaling pathway,ESR1
miR-130a,GO:0007204~positive regulation of cytosolic calcium ion concentration,ESR1
miR-130a,GO:0008209~androgen metabolic process,ESR1
miR-130a,GO:0008584~male gonad development,ESR1
miR-130a,GO:0010629~negative regulation of gene expression,ESR1
miR-130a,GO:0010863~positive regulation of phospholipase C activity,ESR1
miR-130a,GO:0030518~intracellular steroid hormone receptor signaling pathway,ESR1
miR-130a,GO:0030520~intracellular estrogen receptor signaling pathway,ESR1
miR-130a,GO:0032355~response to estradiol,ESR1
miR-130a,GO:0034121~regulation of toll-like receptor signaling pathway,ESR1
miR-130a,GO:0042981~regulation of apoptotic process,ESR1
miR-130a,GO:0043124~negative regulation of I-kappaB kinase/NF-kappaB signaling,ESR1
miR-130a,GO:0043401~steroid hormone mediated signaling pathway,ESR1
miR-130a,GO:0043433~negative regulation of sequence-specific DNA binding transcription factor activity,ESR1
miR-130a,GO:0043627~response to estrogen,ESR1
miR-130a,GO:0045429~positive regulation of nitric oxide biosynthetic process,ESR1
miR-130a,GO:0045893~positive regulation of transcription<COMMA> DNA-templated,ESR1
miR-130a,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,ESR1
miR-130a,GO:0048146~positive regulation of fibroblast proliferation,ESR1
miR-130a,GO:0050727~regulation of inflammatory response,ESR1
miR-130a,GO:0051000~positive regulation of nitric-oxide synthase activity,ESR1
miR-130a,GO:0051091~positive regulation of sequence-specific DNA binding transcription factor activity,ESR1
miR-130a,GO:0060065~uterus development,ESR1
miR-130a,GO:0060068~vagina development,ESR1
miR-130a,GO:0060523~prostate epithelial cord elongation,ESR1
miR-130a,GO:0060527~prostate epithelial cord arborization involved in prostate glandular acinus morphogenesis,ESR1
miR-130a,GO:0060687~regulation of branching involved in prostate gland morphogenesis,ESR1
miR-130a,GO:0060745~mammary gland branching involved in pregnancy,ESR1
miR-130a,GO:0060749~mammary gland alveolus development,ESR1
miR-130a,GO:0060750~epithelial cell proliferation involved in mammary gland duct elongation,ESR1
miR-130a,GO:0071168~protein localization to chromatin,ESR1
miR-130a,GO:0071391~cellular response to estrogen stimulus,ESR1
miR-130a,GO:0071392~cellular response to estradiol stimulus,ESR1
miR-130a,GO:1903799~negative regulation of production of miRNAs involved in gene silencing by miRNA<COMMA>,ESR1
miR-130a,GO:0001649~osteoblast differentiation,GJA1
miR-130a,GO:0001701~in utero embryonic development,GJA1
miR-130a,GO:0001764~neuron migration,GJA1
miR-130a,GO:0001937~negative regulation of endothelial cell proliferation,GJA1
miR-130a,GO:0001947~heart looping,GJA1
